Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,1,1,32.68052,268,34.69587,177,10x10,OPT,FALSE,equal,64.36,64.62
f.rnd,1,10,18.69549,268,18.4966,177,10x10,OPT,FALSE,equal,63.73,63.64
f.rnd,1,11,18.69549,268,18.4966,177,10x10,OPT,FALSE,equal,62.64,62.71
f.rnd,1,12,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,57.82,57.85
f.rnd,1,13,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,62.47,63.59
f.rnd,1,14,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,57.82,57.85
f.rnd,1,15,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,55.12,55.86
f.rnd,1,16,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,59.93,61.12
f.rnd,1,2,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,51.38,51.5
f.rnd,1,3,18.69549,268,18.4966,177,10x10,OPT,FALSE,equal,63.73,63.65
f.rnd,1,4,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,63.61,64.67
f.rnd,1,5,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,59.89,60.3
f.rnd,1,6,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,50.9,50.62
f.rnd,1,7,24.59329,268,24.41112,177,10x10,OPT,FALSE,equal,61.19,61.37
f.rnd,1,8,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,63.61,64.67
f.rnd,1,9,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,63.61,64.67
f.rnd,16,1,23.2468,268,21.9389,177,10x10,OPT,FALSE,equal,75.53,75.92
f.rnd,2,1,34.71977,268,34.72174,177,10x10,OPT,FALSE,equal,64.61,65.08
f.rnd,2,10,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,62.82,63.64
f.rnd,2,100,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,61.75,62.72
f.rnd,2,101,18.2438,268,17.97709,177,10x10,OPT,FALSE,equal,64.99,65.19
f.rnd,2,102,18.43774,268,19.15111,177,10x10,OPT,FALSE,equal,63.91,64.35
f.rnd,2,103,27.99193,268,27.18029,177,10x10,OPT,FALSE,equal,58.4,58.77
f.rnd,2,104,25.61204,268,25.84386,177,10x10,OPT,FALSE,equal,61.57,62.38
f.rnd,2,105,27.99193,268,27.18029,177,10x10,OPT,FALSE,equal,58.4,58.77
f.rnd,2,106,25.82907,268,24.94088,177,10x10,OPT,FALSE,equal,66.82,67.02
f.rnd,2,107,26.7783,268,26.08001,177,10x10,OPT,FALSE,equal,60.99,62.28
f.rnd,2,108,24.42374,268,23.82827,177,10x10,OPT,FALSE,equal,66.45,66.96
f.rnd,2,109,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.61,63.92
f.rnd,2,11,29.6409,268,30.61954,177,10x10,OPT,FALSE,equal,64.88,65.05
f.rnd,2,110,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.57,63.64
f.rnd,2,111,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.81,62.8
f.rnd,2,112,25.24742,268,23.98202,177,10x10,OPT,FALSE,equal,63.27,64.48
f.rnd,2,113,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.61,63.92
f.rnd,2,114,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,60.8,62.05
f.rnd,2,115,24.38877,268,23.93118,177,10x10,OPT,FALSE,equal,66.45,66.96
f.rnd,2,116,24.08837,268,23.14323,177,10x10,OPT,FALSE,equal,65.75,66.52
f.rnd,2,117,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,60.1,60.94
f.rnd,2,118,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,61.55,62.71
f.rnd,2,119,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,60.1,60.94
f.rnd,2,12,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,51.41,51.91
f.rnd,2,120,25.6748,268,24.96116,177,10x10,OPT,FALSE,equal,60.9,61.67
f.rnd,2,13,17.30213,268,17.50376,177,10x10,OPT,FALSE,equal,64.18,64.15
f.rnd,2,14,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.87,64.23
f.rnd,2,15,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,60.66,61.43
f.rnd,2,16,23.65872,268,23.64573,177,10x10,OPT,FALSE,equal,69.24,69.59
