Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,1,1,39.12471,268,38.57265,177,10x10,OPT,FALSE,wcs,64.36,64.62
f.rnd,1,10,34.86277,268,33.59096,177,10x10,OPT,FALSE,wcs,63.73,63.64
f.rnd,1,11,18.69549,268,18.4966,177,10x10,OPT,FALSE,wcs,62.64,62.71
f.rnd,1,12,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,57.82,57.85
f.rnd,1,13,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.47,63.59
f.rnd,1,14,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,57.82,57.85
f.rnd,1,15,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,55.12,55.86
f.rnd,1,16,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,59.93,61.12
f.rnd,1,2,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,51.38,51.5
f.rnd,1,3,18.69549,268,18.4966,177,10x10,OPT,FALSE,wcs,63.73,63.65
f.rnd,1,4,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,63.61,64.67
f.rnd,1,5,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,59.89,60.3
f.rnd,1,6,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,50.9,50.62
f.rnd,1,7,24.59329,268,24.41112,177,10x10,OPT,FALSE,wcs,61.19,61.37
f.rnd,1,8,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,63.61,64.67
f.rnd,1,9,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,63.61,64.67
f.rnd,16,1,40.1101,268,39.19129,177,10x10,OPT,FALSE,wcs,73.96,74.36
f.rnd,2,1,35.71084,268,36.33594,177,10x10,OPT,FALSE,wcs,64.6,65.08
f.rnd,2,10,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.76,63.62
f.rnd,2,100,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.84,62.91
f.rnd,2,101,18.14619,268,17.79942,177,10x10,OPT,FALSE,wcs,65.04,65.16
f.rnd,2,102,18.53182,268,19.39633,177,10x10,OPT,FALSE,wcs,63.92,64.36
f.rnd,2,103,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,58.22,58.69
f.rnd,2,104,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.86,62.76
f.rnd,2,105,28.11723,268,27.16473,177,10x10,OPT,FALSE,wcs,58.23,58.69
f.rnd,2,106,37.4328,268,36.76068,177,10x10,OPT,FALSE,wcs,66.83,67.01
f.rnd,2,107,27.66746,268,26.47454,177,10x10,OPT,FALSE,wcs,61.03,62.18
f.rnd,2,108,35.88916,268,35.6943,177,10x10,OPT,FALSE,wcs,66.36,66.93
f.rnd,2,109,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,62.71,64.04
f.rnd,2,11,41.76058,268,41.2381,177,10x10,OPT,FALSE,wcs,64.94,65.07
f.rnd,2,110,26.3873,268,25.72964,177,10x10,OPT,FALSE,wcs,62.52,63.61
f.rnd,2,111,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,62.19,63.11
f.rnd,2,112,33.13772,268,33.15152,177,10x10,OPT,FALSE,wcs,63.28,64.53
f.rnd,2,113,33.92269,268,34.72992,177,10x10,OPT,FALSE,wcs,62.71,64.03
f.rnd,2,114,33.92269,268,34.72992,177,10x10,OPT,FALSE,wcs,60.8,62.12
f.rnd,2,115,31.95309,268,30.98203,177,10x10,OPT,FALSE,wcs,66.37,66.94
f.rnd,2,116,24.21447,268,23.14191,177,10x10,OPT,FALSE,wcs,65.77,66.5
f.rnd,2,117,25.44536,268,25.14437,177,10x10,OPT,FALSE,wcs,60.02,60.93
f.rnd,2,118,26.11912,268,26.19435,177,10x10,OPT,FALSE,wcs,61.67,62.9
f.rnd,2,119,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,60.06,60.91
f.rnd,2,12,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,51.83,51.98
f.rnd,2,120,25.45375,268,24.38972,177,10x10,OPT,FALSE,wcs,60.59,61.42
f.rnd,2,13,38.16655,268,37.28332,177,10x10,OPT,FALSE,wcs,64.03,64.15
f.rnd,2,14,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,63.09,64.32
f.rnd,2,15,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,60.66,61.42
f.rnd,2,16,42.88897,268,42.93691,177,10x10,OPT,FALSE,wcs,69.31,69.64
f.rnd,2,17,28.5906,268,27.97457,177,10x10,OPT,FALSE,wcs,63.11,63.61
f.rnd,2,18,46.53295,268,46.32182,177,10x10,OPT,FALSE,wcs,69.53,69.54
f.rnd,2,19,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.89,63.71
f.rnd,2,2,35.6786,268,36.35254,177,10x10,OPT,FALSE,wcs,64.58,65.09
f.rnd,2,20,28.27361,268,27.59627,177,10x10,OPT,FALSE,wcs,62.96,63.51
f.rnd,2,21,25.42283,268,24.15748,177,10x10,OPT,FALSE,wcs,63.04,63.42
f.rnd,2,22,43.47512,268,41.8672,177,10x10,OPT,FALSE,wcs,69.71,69.9
f.rnd,2,23,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,64.74,65.9
f.rnd,2,24,41.17278,268,40.02337,177,10x10,OPT,FALSE,wcs,70.25,70.88
f.rnd,2,25,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,63.61,64.67
f.rnd,2,26,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.76,63.62
f.rnd,2,27,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,63.07,64.31
f.rnd,2,28,24.50423,268,23.93589,177,10x10,OPT,FALSE,wcs,62.9,63.72
f.rnd,2,29,46.80258,268,45.54748,177,10x10,OPT,FALSE,wcs,68.08,68.3
f.rnd,2,3,38.69303,268,37.47782,177,10x10,OPT,FALSE,wcs,64.58,65.09
f.rnd,2,30,45.06237,268,44.50575,177,10x10,OPT,FALSE,wcs,64.74,65.87
f.rnd,2,31,17.53024,268,17.7505,177,10x10,OPT,FALSE,wcs,68.19,68.63
f.rnd,2,32,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,65.94,66.91
f.rnd,2,33,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.25,61.86
f.rnd,2,34,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,62.56,63.89
f.rnd,2,35,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.91,63.65
f.rnd,2,36,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,65.94,66.91
f.rnd,2,37,36.12929,268,35.29843,177,10x10,OPT,FALSE,wcs,64.56,65.09
f.rnd,2,38,34.47803,268,33.2324,177,10x10,OPT,FALSE,wcs,64.53,65.01
f.rnd,2,39,37.51621,268,36.45989,177,10x10,OPT,FALSE,wcs,63.73,63.65
f.rnd,2,4,43.47512,268,41.8672,177,10x10,OPT,FALSE,wcs,69.71,69.9
f.rnd,2,40,17.57722,268,17.5194,177,10x10,OPT,FALSE,wcs,70.29,70.88
f.rnd,2,41,37.41761,268,36.67322,177,10x10,OPT,FALSE,wcs,69.76,70
f.rnd,2,42,36.89429,268,34.9831,177,10x10,OPT,FALSE,wcs,64.06,64.14
f.rnd,2,43,43.82242,268,43.54303,177,10x10,OPT,FALSE,wcs,69.55,69.52
f.rnd,2,44,17.57722,268,17.5194,177,10x10,OPT,FALSE,wcs,70.27,70.88
f.rnd,2,45,42.66825,268,42.38777,177,10x10,OPT,FALSE,wcs,68.18,68.64
f.rnd,2,46,35.75977,268,36.76094,177,10x10,OPT,FALSE,wcs,64.55,65.11
f.rnd,2,47,35.04285,268,34.74,177,10x10,OPT,FALSE,wcs,63.65,63.89
f.rnd,2,48,37.71754,268,36.36546,177,10x10,OPT,FALSE,wcs,63.73,63.65
f.rnd,2,49,45.05303,268,43.99215,177,10x10,OPT,FALSE,wcs,69.24,69.97
f.rnd,2,5,41.16312,268,41.35752,177,10x10,OPT,FALSE,wcs,64.75,65.9
f.rnd,2,50,36.81188,268,36.22469,177,10x10,OPT,FALSE,wcs,69.13,69.36
f.rnd,2,51,37.02321,268,36.38978,177,10x10,OPT,FALSE,wcs,62.91,62.9
f.rnd,2,52,20.59066,268,20.58141,177,10x10,OPT,FALSE,wcs,68.74,68.78
f.rnd,2,53,45.06654,268,43.98271,177,10x10,OPT,FALSE,wcs,69.21,69.97
f.rnd,2,54,45.88819,268,45.20212,177,10x10,OPT,FALSE,wcs,67.41,67.93
f.rnd,2,55,18.69549,268,18.4966,177,10x10,OPT,FALSE,wcs,63.73,63.64
f.rnd,2,56,42.69611,268,40.76965,177,10x10,OPT,FALSE,wcs,66.6,66.83
f.rnd,2,57,39.75366,268,39.2153,177,10x10,OPT,FALSE,wcs,56.89,56.68
f.rnd,2,58,27.92758,268,28.85239,177,10x10,OPT,FALSE,wcs,66.62,66.61
f.rnd,2,59,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.49,63.46
f.rnd,2,6,41.17278,268,40.02337,177,10x10,OPT,FALSE,wcs,70.29,70.88
f.rnd,2,60,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,60.53,61.04
f.rnd,2,61,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,56.14,56.34
f.rnd,2,62,24.61526,268,24.43926,177,10x10,OPT,FALSE,wcs,60.76,61.45
f.rnd,2,63,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.49,63.46
f.rnd,2,64,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.58,62.39
f.rnd,2,65,49.44018,268,48.64692,177,10x10,OPT,FALSE,wcs,66.57,66.58
f.rnd,2,66,29.8011,268,29.96705,177,10x10,OPT,FALSE,wcs,65.89,66.04
f.rnd,2,67,22.28064,268,22.16607,177,10x10,OPT,FALSE,wcs,68.11,68.87
f.rnd,2,68,42.36613,268,40.91699,177,10x10,OPT,FALSE,wcs,64.49,65.72
f.rnd,2,69,21.16775,268,21.18528,177,10x10,OPT,FALSE,wcs,68.75,69.28
f.rnd,2,7,39.27283,268,38.30277,177,10x10,OPT,FALSE,wcs,68.43,68.76
f.rnd,2,70,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,64.71,65.84
f.rnd,2,71,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.43,63.26
f.rnd,2,72,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,61.76,62.74
f.rnd,2,73,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.8,63.82
f.rnd,2,74,48.44136,268,49.29422,177,10x10,OPT,FALSE,wcs,64.7,65.83
f.rnd,2,75,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.48,63.58
f.rnd,2,76,21.12466,268,21.33906,177,10x10,OPT,FALSE,wcs,68.71,69.28
f.rnd,2,77,42.00481,268,41.03115,177,10x10,OPT,FALSE,wcs,67.99,68.65
f.rnd,2,78,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.09,63.2
f.rnd,2,79,30.07881,268,30.03456,177,10x10,OPT,FALSE,wcs,66.6,66.8
f.rnd,2,8,39.98537,268,39.40696,177,10x10,OPT,FALSE,wcs,63.09,63.61
f.rnd,2,80,39.76488,268,39.32029,177,10x10,OPT,FALSE,wcs,56.9,56.66
