Problem,Step,Track,V1
j.rnd,1,LWR,1410
j.rnd,1,MWR,3000
j.rnd,1,OPT,3000
j.rnd,2,LWR,1410
j.rnd,2,MWR,3000
j.rnd,2,OPT,3000
j.rnd,3,LWR,1410
j.rnd,3,MWR,3000
j.rnd,3,OPT,3000
j.rnd,4,LWR,1410
j.rnd,4,MWR,3000
j.rnd,4,OPT,3000
j.rnd,5,LWR,1410
j.rnd,5,MWR,3000
j.rnd,5,OPT,3000
j.rnd,6,LWR,1410
j.rnd,6,MWR,3000
j.rnd,6,OPT,3000
j.rnd,7,LWR,1410
j.rnd,7,MWR,3000
j.rnd,7,OPT,3000
j.rnd,8,LWR,1410
j.rnd,8,MWR,3000
j.rnd,8,OPT,3000
j.rnd,9,LWR,1410
j.rnd,9,MWR,3000
j.rnd,9,OPT,3000
j.rnd,10,LWR,1410
j.rnd,10,MWR,3000
j.rnd,10,OPT,3000
j.rnd,11,LWR,1269
j.rnd,11,MWR,3000
j.rnd,11,OPT,3000
j.rnd,12,LWR,1269
j.rnd,12,MWR,3000
j.rnd,12,OPT,3000
j.rnd,13,LWR,1269
j.rnd,13,MWR,3000
j.rnd,13,OPT,3000
j.rnd,14,LWR,1269
j.rnd,14,MWR,3000
j.rnd,14,OPT,3000
j.rnd,15,LWR,1269
j.rnd,15,MWR,3000
j.rnd,15,OPT,3000
j.rnd,16,LWR,1269
j.rnd,16,MWR,3000
j.rnd,16,OPT,3000
j.rnd,17,LWR,1269
j.rnd,17,MWR,3000
j.rnd,17,OPT,3000
j.rnd,18,LWR,1269
j.rnd,18,MWR,3000
j.rnd,18,OPT,3000
j.rnd,19,LWR,1269
j.rnd,19,MWR,3000
j.rnd,19,OPT,3000
j.rnd,20,LWR,1269
j.rnd,20,MWR,3000
j.rnd,20,OPT,3000
j.rnd,21,LWR,1128
j.rnd,21,MWR,3000
j.rnd,21,OPT,3000
j.rnd,22,LWR,1128
j.rnd,22,MWR,3000
j.rnd,22,OPT,3000
j.rnd,23,LWR,1128
j.rnd,23,MWR,3000
j.rnd,23,OPT,3000
j.rnd,24,LWR,1128
j.rnd,24,MWR,3000
j.rnd,24,OPT,3000
j.rnd,25,LWR,1128
j.rnd,25,MWR,3000
j.rnd,25,OPT,3000
j.rnd,26,LWR,1128
j.rnd,26,MWR,3000
j.rnd,26,OPT,3000
j.rnd,27,LWR,1128
j.rnd,27,MWR,3000
j.rnd,27,OPT,3000
j.rnd,28,LWR,1128
j.rnd,28,MWR,3000
j.rnd,28,OPT,3000
j.rnd,29,LWR,1128
j.rnd,29,MWR,3000
j.rnd,29,OPT,3000
j.rnd,30,LWR,1128
j.rnd,30,MWR,3000
j.rnd,30,OPT,3000
j.rnd,31,LWR,987
j.rnd,31,MWR,3000
j.rnd,31,OPT,3000
j.rnd,32,LWR,987
j.rnd,32,MWR,3000
j.rnd,32,OPT,3000
j.rnd,33,LWR,987
j.rnd,33,MWR,3000
j.rnd,33,OPT,3000
j.rnd,34,LWR,987
j.rnd,34,MWR,3000
j.rnd,34,OPT,3000
j.rnd,35,LWR,987
j.rnd,35,MWR,3000
j.rnd,35,OPT,3000
j.rnd,36,LWR,987
j.rnd,36,MWR,3000
j.rnd,36,OPT,3000
j.rnd,37,LWR,987
j.rnd,37,MWR,3000
j.rnd,37,OPT,3000
j.rnd,38,LWR,987
j.rnd,38,MWR,3000
j.rnd,38,OPT,3000
j.rnd,39,LWR,987
j.rnd,39,MWR,3000
j.rnd,39,OPT,3000
j.rnd,40,LWR,987
j.rnd,40,MWR,3000
j.rnd,40,OPT,3000
j.rnd,41,LWR,846
j.rnd,41,MWR,3000
j.rnd,41,OPT,3000
j.rnd,42,LWR,846
j.rnd,42,MWR,3000
j.rnd,42,OPT,3000
j.rnd,43,LWR,846
j.rnd,43,MWR,3000
j.rnd,43,OPT,3000
j.rnd,44,LWR,846
j.rnd,44,MWR,3000
j.rnd,44,OPT,3000
j.rnd,45,LWR,846
j.rnd,45,MWR,3000
j.rnd,45,OPT,3000
j.rnd,46,LWR,846
j.rnd,46,MWR,3000
j.rnd,46,OPT,3000
j.rnd,47,LWR,846
j.rnd,47,MWR,3000
j.rnd,47,OPT,2999
j.rnd,48,LWR,846
j.rnd,48,MWR,3000
j.rnd,48,OPT,2996
j.rnd,49,LWR,846
j.rnd,49,MWR,3000
j.rnd,49,OPT,2996
j.rnd,50,LWR,846
j.rnd,50,MWR,3000
j.rnd,50,OPT,2996
j.rnd,51,LWR,705
j.rnd,51,MWR,3000
j.rnd,51,OPT,2996
j.rnd,52,LWR,705
j.rnd,52,MWR,3000
j.rnd,52,OPT,2995
j.rnd,53,LWR,705
j.rnd,53,MWR,3000
j.rnd,53,OPT,2994
j.rnd,54,LWR,705
j.rnd,54,MWR,3000
j.rnd,54,OPT,2994
j.rnd,55,LWR,705
j.rnd,55,MWR,3000
j.rnd,55,OPT,2993
j.rnd,56,LWR,705
j.rnd,56,MWR,3000
j.rnd,56,OPT,2992
j.rnd,57,LWR,705
j.rnd,57,MWR,3000
j.rnd,57,OPT,2992
j.rnd,58,LWR,705
j.rnd,58,MWR,3000
